"timestamp_ses1","table_ses1","variable_n_ses1","domain_code_ses1","note_ses1","timestamp_ses2","table_ses2","variable_n_ses2","domain_code_ses2","note_ses2","variable","domain_code_join","note_join"
"2025-02-14 18:14:01","CHILD","1 of 35","3","AUTO CATEGORISED","2025-02-14 18:17:47","CHILD","1 of 35","3","AUTO CATEGORISED","ALF_E","3","No mismatch!"
"2025-02-14 18:14:01","CHILD","2 of 35","3","AUTO CATEGORISED","2025-02-14 18:17:47","CHILD","2 of 35","3","AUTO CATEGORISED","ALF_MTCH_PCT","3","No mismatch!"
"2025-02-14 18:14:01","CHILD","3 of 35","3","AUTO CATEGORISED","2025-02-14 18:17:47","CHILD","3 of 35","3","AUTO CATEGORISED","ALF_STS_CD","3","No mismatch!"
"2025-02-14 18:14:01","CHILD","4 of 35","8","","2025-02-14 18:17:47","CHILD","4 of 35","8","","APGAR_1","8","No mismatch!"
"2025-02-14 18:14:01","CHILD","5 of 35","8","","2025-02-14 18:17:47","CHILD","5 of 35","8","","APGAR_2","8","No mismatch!"
"2025-02-14 18:14:01","CHILD","6 of 35","2","AUTO CATEGORISED","2025-02-14 18:17:47","CHILD","6 of 35","2","AUTO CATEGORISED","AVAIL_FROM_DT","2","No mismatch!"
"2025-02-14 18:14:01","CHILD","7 of 35","8","10% missingness","2025-02-14 18:17:47","CHILD","7 of 35","2,8","","BIRTH_ORDER","8",""
"2025-02-14 18:14:01","CHILD","8 of 35","2,8","20% missingness","2025-02-14 18:17:47","CHILD","8 of 35","8","","BIRTH_TM","2,8",""
"2025-02-14 18:14:01","CHILD","9 of 35","8","","2025-02-14 18:17:47","CHILD","9 of 35","8","","BIRTH_WEIGHT","8","No mismatch!"
"2025-02-14 18:14:01","CHILD","10 of 35","8","","2025-02-14 18:17:47","CHILD","10 of 35","8","","BIRTH_WEIGHT_DEC","8","No mismatch!"
"2025-02-14 18:14:01","CHILD","11 of 35","8","","2025-02-14 18:17:47","CHILD","11 of 35","8","","BREASTFEED_8_WKS_FLG","8","No mismatch!"
"2025-02-14 18:14:01","CHILD","12 of 35","8","","2025-02-14 18:17:47","CHILD","12 of 35","8","","BREASTFEED_BIRTH_FLG","8","No mismatch!"
"2025-02-14 18:14:01","CHILD","13 of 35","3","","2025-02-14 18:17:47","CHILD","13 of 35","3","","CHILD_ID_E","3","No mismatch!"
"2025-02-14 18:14:01","CHILD","14 of 35","6,8","place of birth","2025-02-14 18:17:47","CHILD","14 of 35","6,8","","CURR_LHB_CD_BIRTH","6,8","No mismatch!"
"2025-02-14 18:14:01","CHILD","15 of 35","8","","2025-02-14 18:17:47","CHILD","15 of 35","8","","DEL_CD","8","No mismatch!"
"2025-02-14 18:14:01","CHILD","16 of 35","4,8","","2025-02-14 18:17:47","CHILD","16 of 35","4","","DOD","4,8",""
"2025-02-14 18:14:01","CHILD","17 of 35","4","","2025-02-14 18:17:47","CHILD","17 of 35","4","","ETHNIC_GRP_CD","4","No mismatch!"
"2025-02-14 18:14:01","CHILD","18 of 35","4,8","","2025-02-14 18:17:47","CHILD","18 of 35","8","","GEST_AGE","8",""
"2025-02-14 18:14:01","CHILD","19 of 35","5","AUTO CATEGORISED","2025-02-14 18:17:47","CHILD","19 of 35","5","AUTO CATEGORISED","GNDR_CD","5","No mismatch!"
"2025-02-14 18:14:01","CHILD","20 of 35","3","","2025-02-14 18:17:47","CHILD","20 of 35","1,2","","HEALTH_VISITOR_CD_E","1",""
