"timestamp_ses1","table_ses1","data_element_n_ses1","domain_code_ses1","note_ses1","timestamp_ses2","table_ses2","data_element_n_ses2","domain_code_ses2","note_ses2","data_element","domain_code_join","note_join"
"2024-12-19 14:11:55","CHILD","1 of 35","2","AUTO CATEGORISED","2024-12-19 14:17:45","CHILD","1 of 35","2","AUTO CATEGORISED","ALF_E","2","No mismatch!"
"2024-12-19 14:11:55","CHILD","2 of 35","2","AUTO CATEGORISED","2024-12-19 14:17:45","CHILD","2 of 35","2","AUTO CATEGORISED","ALF_MTCH_PCT","2","No mismatch!"
"2024-12-19 14:11:55","CHILD","3 of 35","2","AUTO CATEGORISED","2024-12-19 14:17:45","CHILD","3 of 35","2","AUTO CATEGORISED","ALF_STS_CD","2","No mismatch!"
"2024-12-19 14:11:55","CHILD","4 of 35","7","","2024-12-19 14:17:45","CHILD","4 of 35","7","","APGAR_1","7","No mismatch!"
"2024-12-19 14:11:55","CHILD","5 of 35","7","","2024-12-19 14:17:45","CHILD","5 of 35","7","","APGAR_2","7","No mismatch!"
"2024-12-19 14:11:55","CHILD","6 of 35","1","AUTO CATEGORISED","2024-12-19 14:17:45","CHILD","6 of 35","1","AUTO CATEGORISED","AVAIL_FROM_DT","1","No mismatch!"
"2024-12-19 14:11:55","CHILD","7 of 35","7","10% missingness","2024-12-19 14:17:45","CHILD","7 of 35","1,7","","BIRTH_ORDER","7",""
"2024-12-19 14:11:55","CHILD","8 of 35","1,7","20% missingness","2024-12-19 14:17:45","CHILD","8 of 35","7","","BIRTH_TM","1,7",""
"2024-12-19 14:11:55","CHILD","9 of 35","7","","2024-12-19 14:17:45","CHILD","9 of 35","7","","BIRTH_WEIGHT","7","No mismatch!"
"2024-12-19 14:11:55","CHILD","10 of 35","7","","2024-12-19 14:17:45","CHILD","10 of 35","7","","BIRTH_WEIGHT_DEC","7","No mismatch!"
"2024-12-19 14:11:55","CHILD","11 of 35","7","","2024-12-19 14:17:45","CHILD","11 of 35","7","","BREASTFEED_8_WKS_FLG","7","No mismatch!"
"2024-12-19 14:11:55","CHILD","12 of 35","7","","2024-12-19 14:17:45","CHILD","12 of 35","7","","BREASTFEED_BIRTH_FLG","7","No mismatch!"
"2024-12-19 14:11:55","CHILD","13 of 35","2","","2024-12-19 14:17:45","CHILD","13 of 35","2","","CHILD_ID_E","2","No mismatch!"
"2024-12-19 14:11:55","CHILD","14 of 35","5,7","place of birth","2024-12-19 14:17:45","CHILD","14 of 35","5,7","","CURR_LHB_CD_BIRTH","5,7","No mismatch!"
"2024-12-19 14:11:55","CHILD","15 of 35","7","","2024-12-19 14:17:45","CHILD","15 of 35","7","","DEL_CD","7","No mismatch!"
"2024-12-19 14:11:55","CHILD","16 of 35","3,7","","2024-12-19 14:17:45","CHILD","16 of 35","3","","DOD","3,7",""
"2024-12-19 14:11:55","CHILD","17 of 35","3","","2024-12-19 14:17:45","CHILD","17 of 35","3","","ETHNIC_GRP_CD","3","No mismatch!"
"2024-12-19 14:11:55","CHILD","18 of 35","3,7","","2024-12-19 14:17:45","CHILD","18 of 35","7","","GEST_AGE","7",""
"2024-12-19 14:11:55","CHILD","19 of 35","3","AUTO CATEGORISED","2024-12-19 14:17:45","CHILD","19 of 35","3","AUTO CATEGORISED","GNDR_CD","3","No mismatch!"
"2024-12-19 14:11:55","CHILD","20 of 35","2","","2024-12-19 14:17:45","CHILD","20 of 35","0,1","","HEALTH_VISITOR_CD_E","0",""
